Year,Player,Nation,Pos,Age,MatchesPlayed,PlayedStarting11,MinutesPlayed,GoalsScored,AssistsProvided,GoalsAssists,NonPenaltyGoals,GoalsFromPenalty,PenaltyKicksAttempted,YellowCards,RedCards,ExpectedGoals_xG,ExpectedNonPenaltyGoals,ExpectedAssistsProvided,ExpectedNonPenaltyGoalsAssistsProvided,ProgressiveCarries,ProgressivePasses,ProgressivePassesReceived,GoalsPer90Minutes,AssistsPer90Minutes,GoalsAssistsPer90Minutes,NonPenaltyGoalsPer90Minutes,NonPenaltyGoalsAssistsPer90Minutes,ExpectedGoalsPer90Minutes,ExpectedAssitsPer90Minutes,ExpectedGoalsAssitsPer90Minutes,NonPenaltyExpectedGoalsPer90Minutes,NonPenaltyExpectedGoalsAssistsPer90Minutes,InterceptionsPerGame,TacklesPerGame,DribbledPastPerGame,ClearancesPerGame,GroundDuelsWon,AerialDuelsWon
2023,Sandro Tonali,Italy,Midfielder,22,48,44,3974,2,9,11,2,0,0,11,0,3,3,8.6,11.6,79,199,116,0.05,0.2,0.25,0.05,0.25,0.07,0.2,0.28,0.07,0.28,0.7,1.9,0.5,0.5,61%,45%
2023,Theo Hernandez,France,Defender,24,45,44,3850,4,4,8,3,1,1,10,0,4.6,3.8,4.9,8.7,139,174,184,0.09,0.09,0.19,0.07,0.16,0.11,0.12,0.23,0.09,0.21,0.7,1.3,0.5,1,56%,72%
2023,Fikayo Tomori,England,Defender,24,45,44,3797,1,1,2,1,0,0,9,1,1.4,1.4,1.2,2.6,36,149,10,0.02,0.02,0.05,0.02,0.05,0.03,0.03,0.06,0.03,0.06,0.9,2.1,0.4,2.3,70%,68%
2023,Rafael Leao,Portugal,Forward,23,48,40,3472,16,12,28,16,0,0,7,1,12.4,12.4,9.7,22.1,176,146,302,0.41,0.31,0.73,0.41,0.73,0.34,0.26,0.6,0.34,0.6,0,0.3,0,0,57%,0%
2023,Pierre Kalulu,France,Defender,22,46,35,3446,1,0,1,1,0,0,4,0,1.6,1.6,1.4,3,65,173,50,0.03,0,0.03,0.03,0.03,0.04,0.04,0.08,0.04,0.08,1.2,1.7,0.4,1.4,65%,53%
2023,Olivier Giroud,France,Forward,35,47,38,3193,18,7,25,13,5,6,9,1,18.4,13.8,4.9,18.7,12,53,189,0.51,0.2,0.7,0.37,0.56,0.54,0.14,0.68,0.4,0.55,0.1,0.2,0.2,0.7,37%,62%
2023,Ismail Bennacer,Algeria,Midfielder,24,40,34,2720,3,2,5,3,0,0,6,0,1.5,1.5,3.5,5,39,163,61,0.1,0.07,0.17,0.1,0.17,0.05,0.12,0.17,0.05,0.17,0.9,2.1,0.8,0.5,54%,50%
2023,Brahim Diaz,Spain,Midfielder,22,45,37,2656,7,7,14,7,0,0,4,0,7.5,7.5,6.1,13.7,96,138,149,0.24,0.24,0.47,0.24,0.47,0.27,0.22,0.49,0.27,0.49,0.2,1,0.3,0.1,49%,14%
2023,Rade Krunic,Bosnia,Midfielder,28,34,27,2480,1,1,2,1,0,0,12,0,2,2,1.1,3.1,39,100,32,0.04,0.04,0.07,0.04,0.07,0.07,0.04,0.11,0.07,0.11,0.7,1.7,1.5,0.8,56%,54%
2023,Davide Calabria,Italy,Defender,25,33,28,2275,1,4,5,1,0,0,8,0,1.4,1.4,1.9,3.3,34,137,97,0.04,0.16,0.2,0.04,0.2,0.06,0.08,0.13,0.06,0.13,1,2.8,0.9,1.2,62%,52%
2023,Junior Messias,Brazil,Midfielder,31,36,22,1932,6,2,8,6,0,0,3,0,2.7,2.7,1.2,3.8,61,60,163,0.28,0.09,0.37,0.28,0.37,0.13,0.06,0.19,0.13,0.19,0.3,1,0.6,1,54%,38%
2023,Alexis Saelemaekers,Belgium,Midfielder,23,39,19,1840,4,3,7,4,0,0,2,0,3,3,4.5,7.4,65,61,169,0.2,0.15,0.34,0.2,0.34,0.15,0.23,0.38,0.15,0.38,0.6,1,0.7,0.2,46%,64%
2023,Malick Thiaw,Germany,Defender,20,24,18,1637,0,0,0,0,0,0,7,0,1.6,1.6,0.3,1.9,7,74,2,0,0,0,0,0,0.09,0.01,0.1,0.09,0.1,0.6,1.6,0.5,3.3,57%,67%
2023,Simon Kjaer,Denmark,Defender,33,24,19,1578,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.4,5,59,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,0.5,0.9,0.2,2,57%,58%
