,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,year,month,date,day,prettydate
0,1000002330,The Songs of Adelaide & Abullah,Poetry,Publishing,GBP,2015-10-09,1000.0,2015-08-11 12:12:28,0.0,failed,0.0,GB,0.0,0.0,1533.95,2015,08,11,11,2015-08-11
1,1000003930,Greeting From Earth: ZGAC Arts Capsule For ET,Narrative Film,Film & Video,USD,2017-11-01,30000.0,2017-09-02 04:43:57,2421.0,failed,15.0,US,100.0,2421.0,30000.0,2017,09,02,02,2017-09-02
2,1000004038,Where is Hank?,Narrative Film,Film & Video,USD,2013-02-26,45000.0,2013-01-12 00:20:50,220.0,failed,3.0,US,220.0,220.0,45000.0,2013,01,12,12,2013-01-12
3,1000007540,ToshiCapital Rekordz Needs Help to Complete Album,Music,Music,USD,2012-04-16,5000.0,2012-03-17 03:24:11,1.0,failed,1.0,US,1.0,1.0,5000.0,2012,03,17,17,2012-03-17
4,1000011046,Community Film Project: The Art of Neighborhood Filmmaking,Film & Video,Film & Video,USD,2015-08-29,19500.0,2015-07-04 08:35:03,1283.0,canceled,14.0,US,1283.0,1283.0,19500.0,2015,07,04,04,2015-07-04
5,1000014025,Monarch Espresso Bar,Restaurants,Food,USD,2016-04-01,50000.0,2016-02-26 13:38:27,52375.0,successful,224.0,US,52375.0,52375.0,50000.0,2016,02,26,26,2016-02-26
6,1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,Food,USD,2014-12-21,1000.0,2014-12-01 18:30:44,1205.0,successful,16.0,US,1205.0,1205.0,1000.0,2014,12,01,01,2014-12-01
7,1000030581,Chaser Strips. Our Strips make Shots their B*tch!,Drinks,Food,USD,2016-03-17,25000.0,2016-02-01 20:05:12,453.0,failed,40.0,US,453.0,453.0,25000.0,2016,02,01,01,2016-02-01
8,1000034518,SPIN - Premium Retractable In-Ear Headphones with Mic,Product Design,Design,USD,2014-05-29,125000.0,2014-04-24 18:14:43,8233.0,canceled,58.0,US,8233.0,8233.0,125000.0,2014,04,24,24,2014-04-24
9,100004195,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),Documentary,Film & Video,USD,2014-08-10,65000.0,2014-07-11 21:55:48,6240.57,canceled,43.0,US,6240.57,6240.57,65000.0,2014,07,11,11,2014-07-11
10,100004721,Of Jesus and Madmen,Nonfiction,Publishing,CAD,2013-10-09,2500.0,2013-09-09 18:19:37,0.0,failed,0.0,CA,0.0,0.0,2406.39,2013,09,09,09,2013-09-09
11,100005484,Lisa Lim New CD!,Indie Rock,Music,USD,2013-04-08,12500.0,2013-03-09 06:42:58,12700.0,successful,100.0,US,12700.0,12700.0,12500.0,2013,03,09,09,2013-03-09
12,1000055792,The Cottage Market,Crafts,Crafts,USD,2014-10-02,5000.0,2014-09-02 17:11:50,0.0,failed,0.0,US,0.0,0.0,5000.0,2014,09,02,02,2014-09-02
13,1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,Games,Games,USD,2016-03-25,200000.0,2016-02-09 23:01:12,0.0,failed,0.0,US,0.0,0.0,200000.0,2016,02,09,09,2016-02-09
14,1000057089,Tombstone: Old West tabletop game and miniatures in 32mm.,Tabletop Games,Games,GBP,2017-05-03,5000.0,2017-04-05 19:44:18,94175.0,successful,761.0,GB,57763.78,121857.33,6469.73,2017,04,05,05,2017-04-05
15,1000064368,Survival Rings,Design,Design,USD,2015-02-28,2500.0,2015-01-29 02:10:53,664.0,failed,11.0,US,664.0,664.0,2500.0,2015,01,29,29,2015-01-29
16,1000064918,The Beard,Comic Books,Comics,USD,2014-11-08,1500.0,2014-10-09 22:27:52,395.0,failed,16.0,US,395.0,395.0,1500.0,2014,10,09,09,2014-10-09
17,1000068480,Notes From London: Above & Below,Art Books,Publishing,USD,2015-05-10,3000.0,2015-04-10 21:20:54,789.0,failed,20.0,US,789.0,789.0,3000.0,2015,04,10,10,2015-04-10
18,1000070642,Mike Corey's Darkness & Light Album,Music,Music,USD,2012-08-17,250.0,2012-08-02 14:11:32,250.0,successful,7.0,US,250.0,250.0,250.0,2012,08,02,02,2012-08-02
19,1000071625,Boco Tea,Food,Food,USD,2012-06-02,5000.0,2012-05-03 17:24:32,1781.0,failed,40.0,US,1781.0,1781.0,5000.0,2012,05,03,03,2012-05-03
20,1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,2013-12-30,20000.0,2013-11-25 07:06:11,34268.0,successful,624.0,US,34268.0,34268.0,20000.0,2013,11,25,25,2013-11-25
21,1000081649,MikeyJ clothing brand fundraiser,Childrenswear,Fashion,AUD,2017-09-07,2500.0,2017-08-08 01:20:20,1.0,failed,1.0,AU,0.0,0.81,2026.1,2017,08,08,08,2017-08-08
22,1000082254,Alice in Wonderland in G Minor,Theater,Theater,USD,2014-06-15,3500.0,2014-05-16 10:10:38,650.0,failed,12.0,US,650.0,650.0,3500.0,2014,05,16,16,2014-05-16
23,1000087442,Mountain brew: A quest for alcohol sustainability,Drinks,Food,NOK,2015-02-25,500.0,2015-01-26 19:17:33,48.0,failed,3.0,NO,6.18,6.29,65.55,2015,01,26,26,2015-01-26
24,1000091520,The Book Zoo - A Mini-Comic,Comics,Comics,USD,2014-11-12,175.0,2014-10-23 17:15:50,701.66,successful,66.0,US,701.66,701.66,175.0,2014,10,23,23,2014-10-23
25,1000102741,Matt Cavenaugh & Jenny Powers make their 1st album! ,Music,Music,USD,2011-01-06,10000.0,2010-12-07 23:16:50,15827.0,successful,147.0,US,15827.0,15827.0,10000.0,2010,12,07,07,2010-12-07
26,1000103948,Superhero Teddy Bear,DIY,Crafts,GBP,2016-01-05,12000.0,2015-12-06 20:09:06,0.0,failed,0.0,GB,0.0,0.0,17489.65,2015,12,06,06,2015-12-06
27,1000104688,Permaculture Skills,Webseries,Film & Video,CAD,2014-12-14,17757.0,2014-11-14 18:02:00,48905.0,successful,571.0,CA,43203.25,42174.03,15313.04,2014,11,14,14,2014-11-14
28,1000104953,Rebel Army Origins: The Heroic Story Of Major Gripes,Comics,Comics,GBP,2016-01-28,100.0,2015-12-29 16:59:29,112.38,successful,27.0,GB,167.7,160.6,142.91,2015,12,29,29,2015-12-29
29,100011318,My Moon - Animated Short Film,Animation,Film & Video,USD,2017-05-03,50000.0,2017-04-03 17:11:33,57577.31,successful,840.0,US,10120.0,57577.31,50000.0,2017,04,03,03,2017-04-03
30,1000115172,Daily Brew Coffee,Food Trucks,Food,GBP,2015-03-31,3500.0,2015-03-01 18:06:32,21.0,failed,1.0,GB,32.42,31.09,5181.12,2015,03,01,01,2015-03-01
31,1000117861,Ledr workbook: one tough journal!,Product Design,Design,USD,2016-10-08,1000.0,2016-09-07 13:14:26,47266.0,successful,549.0,US,11253.0,47266.0,1000.0,2016,09,07,07,2016-09-07
32,1000120151,Feather Cast Furled Fly Fishing Leaders,Product Design,Design,AUD,2015-08-22,2000.0,2015-07-23 03:09:43,2000.0,successful,18.0,AU,1473.62,1427.35,1427.35,2015,07,23,23,2015-07-23
33,1000120287,BB130A,Public Art,Art,USD,2013-03-24,25000.0,2013-02-12 01:07:28,1395.0,failed,30.0,US,1395.0,1395.0,25000.0,2013,02,12,12,2013-02-12
34,100012079,Chris Eger Band - New Nashville Record!,Music,Music,USD,2014-08-13,12000.0,2014-07-14 22:35:51,13260.0,successful,92.0,US,13260.0,13260.0,12000.0,2014,07,14,14,2014-07-14
35,1000129669,Squatch Watchers,Webseries,Film & Video,USD,2013-08-23,10000.0,2013-07-24 21:40:13,1373.37,failed,54.0,US,1373.37,1373.37,10000.0,2013,07,24,24,2013-07-24
36,1000131947,Arrows & Sound Debut Album,Indie Rock,Music,USD,2012-05-19,4000.0,2012-04-19 01:04:31,8641.34,successful,157.0,US,8641.34,8641.34,4000.0,2012,04,19,19,2012-04-19
37,1000132945,Zen in America: a film on Zen Buddhism in North America,Documentary,Film & Video,USD,2013-10-21,10000.0,2013-09-21 23:00:54,15663.0,successful,213.0,US,15663.0,15663.0,10000.0,2013,09,21,21,2013-09-21
38,1000134913,Galaxy: Winnie and Friends,Illustration,Art,USD,2016-01-27,3000.0,2015-12-23 21:47:29,17.0,failed,2.0,US,17.0,17.0,3000.0,2015,12,23,23,2015-12-23
39,1000146991,Help Scott Reynolds Make a New Record!,Indie Rock,Music,USD,2012-09-02,15000.0,2012-08-03 18:43:16,17499.99,successful,277.0,US,17499.99,17499.99,15000.0,2012,08,03,03,2012-08-03
40,1000149007,Unschooling To University Book Project,Nonfiction,Publishing,CAD,2018-01-19,3000.0,2017-11-20 18:15:14,592.0,live,24.0,CA,185.65,472.88,2396.36,2017,11,20,20,2017-11-20
41,1000153208,Phil Younger - Slow Down (Official Music Video),Music,Music,USD,2016-12-20,2100.0,2016-12-09 20:27:02,2100.0,successful,34.0,US,83.0,2100.0,2100.0,2016,12,09,09,2016-12-09
42,1000160286,"""THE RETURN"" book project",Photography,Photography,USD,2013-12-13,15000.0,2013-11-13 00:34:20,23907.0,successful,232.0,US,23907.0,23907.0,15000.0,2013,11,13,13,2013-11-13
43,1000170964,Penny Bingo Playing Card Game fun for the whole family!,Tabletop Games,Games,USD,2017-03-27,1500.0,2017-03-02 04:01:43,856.0,failed,25.0,US,324.0,856.0,1500.0,2017,03,02,02,2017-03-02
