"Product","Mean","Median","Date"
"Oil",2.110599,2.135,"1988-02-01"
"Women's hair'",6.983629,6.9,"1988-02-01"
"Men's hair'",3.19249,2.8,"1988-02-01"
"Women's hair'",7.049008,7,"1988-03-01"
"Men's hair'",3.135664,2.8,"1988-03-01"
"Oil",2.114204,2.15,"1988-03-01"
"Men's hair'",3.304601,2.9,"1988-04-01"
"Women's hair'",7.152973,7,"1988-04-01"
"Oil",2.125151,2.15,"1988-04-01"
"Men's hair'",3.322913,2.925,"1988-05-01"
"Women's hair'",7.216316,7,"1988-05-01"
"Oil",2.12812,2.15,"1988-05-01"
"Women's hair'",7.277893,7,"1988-06-01"
"Men's hair'",3.3917,2.95,"1988-06-01"
"Oil",2.139717,2.15,"1988-06-01"
"Oil",2.136748,2.15,"1988-07-01"
"Women's hair'",7.326102,7,"1988-07-01"
"Men's hair'",3.411309,3,"1988-07-01"
"Women's hair'",7.37786,7.1,"1988-09-01"
"Oil",2.142819,2.15,"1988-09-01"
"Men's hair'",3.439331,3,"1988-09-01"
"Oil",2.14034,2.15,"1988-10-01"
"Women's hair'",7.367656,7,"1988-10-01"
"Men's hair'",3.482874,3,"1988-10-01"
"Men's hair'",3.543755,3,"1988-11-01"
"Oil",2.144856,2.17,"1988-11-01"
"Women's hair'",7.484924,7,"1988-11-01"
"Women's hair'",7.539557,7.1,"1988-12-01"
"Men's hair'",3.586958,3.1,"1988-12-01"
"Oil",2.146292,2.19,"1988-12-01"
"Men's hair'",3.649961,3.1,"1989-01-01"
"Women's hair'",7.541004,7.3,"1989-01-01"
"Oil",2.157155,2.2,"1989-01-01"
"Oil",2.159941,2.2,"1989-03-01"
"Women's hair'",7.707239,7.5,"1989-03-01"
"Men's hair'",3.715526,3.2,"1989-03-01"
"Men's hair'",3.79774,3.25,"1989-05-01"
"Women's hair'",7.857363,7.5,"1989-05-01"
"Oil",2.17355,2.2,"1989-05-01"
"Oil",2.187106,2.2,"1989-06-01"
"Women's hair'",7.910494,7.5,"1989-06-01"
"Men's hair'",3.812588,3.3,"1989-06-01"
"Men's hair'",3.79112,3.325,"1989-07-01"
"Oil",2.225659,2.25,"1989-07-01"
"Women's hair'",8.026306,7.575,"1989-07-01"
"Men's hair'",3.826694,3.275,"1989-08-01"
"Oil",2.258887,2.29,"1989-08-01"
"Women's hair'",8.022814,7.5,"1989-08-01"
"Men's hair'",3.919095,3.45,"1989-09-01"
"Oil",2.282326,2.32,"1989-09-01"
"Women's hair'",8.042857,7.6,"1989-09-01"
"Oil",2.298587,2.35,"1989-10-01"
"Men's hair'",3.933655,3.45,"1989-10-01"
"Women's hair'",8.047765,7.5,"1989-10-01"
"Oil",2.303096,2.35,"1989-11-01"
"Women's hair'",8.082023,7.5,"1989-11-01"
"Men's hair'",3.982,3.5,"1989-11-01"
"Women's hair'",8.235652,7.95,"1989-12-01"
"Men's hair'",4.03247,3.5,"1989-12-01"
"Oil",2.310937,2.35,"1989-12-01"
"Women's hair'",8.24972,7.95,"1990-01-01"
"Oil",2.334989,2.35,"1990-01-01"
"Men's hair'",4.028636,3.5,"1990-01-01"
"Women's hair'",8.330334,7.95,"1990-02-01"
"Oil",2.350021,2.39,"1990-02-01"
"Men's hair'",4.001318,3.5,"1990-02-01"
"Men's hair'",4.01261,3.5,"1990-03-01"
"Oil",2.380795,2.4,"1990-03-01"
"Women's hair'",8.347757,8,"1990-03-01"
"Women's hair'",8.506007,8.2,"1990-04-01"
"Men's hair'",4.144869,3.5,"1990-04-01"
"Oil",2.437146,2.49,"1990-04-01"
"Women's hair'",8.599157,8.25,"1990-05-01"
"Oil",2.461649,2.49,"1990-05-01"
"Men's hair'",4.12606,3.5,"1990-05-01"
"Men's hair'",4.251616,3.5,"1990-06-01"
"Women's hair'",8.678864,8.25,"1990-06-01"
"Oil",2.479263,2.5,"1990-06-01"
"Women's hair'",8.729105,8.37,"1990-07-01"
"Men's hair'",4.218226,3.5,"1990-07-01"
"Oil",2.499655,2.55,"1990-07-01"
"Oil",2.532341,2.59,"1990-08-01"
"Men's hair'",4.250195,3.5,"1990-08-01"
"Women's hair'",8.76711,8.5,"1990-08-01"
"Men's hair'",4.37217,3.7,"1990-09-01"
"Women's hair'",8.818855,8.5,"1990-09-01"
"Oil",2.57526,2.6,"1990-09-01"
"Oil",2.626115,2.68,"1990-10-01"
"Men's hair'",4.312121,3.7,"1990-10-01"
"Women's hair'",8.81829,8.5,"1990-10-01"
"Oil",2.673235,2.75,"1990-11-01"
"Women's hair'",8.93945,8.5,"1990-11-01"
"Men's hair'",4.381135,3.75,"1990-11-01"
"Oil",2.712126,2.79,"1990-12-01"
"Men's hair'",4.379586,3.8,"1990-12-01"
"Women's hair'",8.867064,8.5,"1990-12-01"
"Women's hair'",8.907392,8.5,"1991-01-01"
"Oil",2.746796,2.8,"1991-01-01"
"Men's hair'",4.385244,3.8,"1991-01-01"
"Women's hair'",8.926156,8.5,"1991-02-01"
"Men's hair'",4.460825,3.9,"1991-02-01"
"Oil",2.768037,2.83,"1991-02-01"
"Oil",2.781897,2.85,"1991-03-01"
"Men's hair'",4.501178,3.95,"1991-03-01"
"Women's hair'",9.042432,8.65,"1991-03-01"
"Oil",2.86854,2.95,"1991-04-01"
"Men's hair'",4.771531,4,"1991-04-01"
"Women's hair'",9.403492,8.9,"1991-04-01"
"Men's hair'",4.811821,4.05,"1991-05-01"
"Oil",2.888857,2.99,"1991-05-01"
"Women's hair'",9.598165,9,"1991-05-01"
"Oil",2.913348,2.99,"1991-06-01"
"Men's hair'",4.84303,4.1,"1991-06-01"
"Women's hair'",9.663446,9,"1991-06-01"
"Men's hair'",4.850154,4.2,"1991-07-01"
"Women's hair'",9.777156,9.25,"1991-07-01"
"Oil",2.964343,2.99,"1991-07-01"
"Men's hair'",4.835952,4.1,"1991-08-01"
"Oil",2.990644,3,"1991-08-01"
"Women's hair'",9.67861,9,"1991-08-01"
"Men's hair'",4.862857,4.1,"1991-09-01"
"Women's hair'",9.835044,9,"1991-09-01"
"Oil",2.989779,3,"1991-09-01"
"Oil",3.010279,3.02,"1991-10-01"
"Women's hair'",9.905678,9.45,"1991-10-01"
"Men's hair'",4.937881,4.325,"1991-10-01"
"Men's hair'",4.962764,4.3,"1991-11-01"
"Oil",3.008586,3.05,"1991-11-01"
"Women's hair'",9.944731,9.5,"1991-11-01"
"Oil",3.00928,3.05,"1991-12-01"
"Women's hair'",10.01906,9.5,"1991-12-01"
"Men's hair'",4.961471,4.3,"1991-12-01"
"Oil",3.004303,3.05,"1992-01-01"
"Men's hair'",5.020293,4.5,"1992-01-01"
"Women's hair'",10.04222,9.5,"1992-01-01"
"Men's hair'",5.004472,4.5,"1992-02-01"
"Oil",3.033004,3.08,"1992-02-01"
"Women's hair'",10.12022,9.55,"1992-02-01"
"Women's hair'",10.24354,9.75,"1992-03-01"
"Oil",3.032097,3.09,"1992-03-01"
"Men's hair'",5.093526,4.5,"1992-03-01"
"Men's hair'",5.143856,4.5,"1992-04-01"
"Oil",3.058965,3.09,"1992-04-01"
"Women's hair'",10.32324,9.8,"1992-04-01"
"Men's hair'",5.152246,4.5,"1992-05-01"
"Women's hair'",10.39932,9.95,"1992-05-01"
"Oil",3.056139,3.1,"1992-05-01"
"Men's hair'",5.215411,4.5,"1992-06-01"
"Oil",3.066187,3.1,"1992-06-01"
"Women's hair'",10.40724,9.95,"1992-06-01"
"Oil",3.075172,3.15,"1992-07-01"
"Women's hair'",10.49631,10,"1992-07-01"
"Men's hair'",5.271572,4.5,"1992-07-01"
"Women's hair'",10.53913,10,"1992-08-01"
"Men's hair'",5.28477,4.5,"1992-08-01"
"Oil",3.112061,3.2,"1992-08-01"
"Women's hair'",10.63024,10,"1992-09-01"
"Men's hair'",5.297055,4.5,"1992-09-01"
"Oil",3.116,3.2,"1992-09-01"
"Men's hair'",5.297705,4.5,"1992-10-01"
"Oil",3.142,3.2,"1992-10-01"
"Women's hair'",10.66515,10.25,"1992-10-01"
"Women's hair'",10.74898,10.25,"1992-11-01"
"Men's hair'",5.32594,4.5,"1992-11-01"
"Oil",3.150436,3.2,"1992-11-01"
"Women's hair'",10.89371,10.5,"1992-12-01"
"Men's hair'",5.425248,4.5,"1992-12-01"
"Oil",3.188333,3.25,"1992-12-01"
"Oil",3.228883,3.29,"1993-01-01"
"Men's hair'",5.350845,4.5,"1993-01-01"
"Women's hair'",10.7713,10.25,"1993-01-01"
"Oil",3.275323,3.29,"1993-02-01"
"Women's hair'",10.78871,10.25,"1993-02-01"
"Men's hair'",5.391567,4.5,"1993-02-01"
"Men's hair'",5.450407,4.65,"1993-03-01"
"Women's hair'",10.79993,10.3,"1993-03-01"
"Oil",3.269656,3.32,"1993-03-01"
"Oil",3.304563,3.45,"1993-04-01"
"Men's hair'",5.503025,4.75,"1993-04-01"
"Women's hair'",10.92918,10.5,"1993-04-01"
"Men's hair'",5.561501,4.8,"1993-05-01"
"Oil",3.31015,3.45,"1993-05-01"
"Women's hair'",11.03783,10.525,"1993-05-01"
"Men's hair'",5.564137,4.75,"1993-06-01"
"Oil",3.326605,3.45,"1993-06-01"
"Women's hair'",11.05971,10.5,"1993-06-01"
"Men's hair'",5.615844,4.775,"1993-07-01"
"Oil",3.319113,3.45,"1993-07-01"
"Women's hair'",11.14991,10.8,"1993-07-01"
"Oil",3.317687,3.49,"1993-08-01"
"Women's hair'",11.19225,10.725,"1993-08-01"
"Men's hair'",5.649759,4.95,"1993-08-01"
"Men's hair'",5.66182,4.95,"1993-09-01"
"Oil",3.325294,3.49,"1993-09-01"
"Women's hair'",11.22009,10.95,"1993-09-01"
"Oil",3.345872,3.49,"1993-10-01"
"Women's hair'",11.28883,10.95,"1993-10-01"
"Men's hair'",5.703983,5,"1993-10-01"
"Men's hair'",5.721787,5,"1993-11-01"
"Oil",3.340329,3.49,"1993-11-01"
"Women's hair'",11.33746,11,"1993-11-01"
"Oil",3.347337,3.49,"1993-12-01"
"Women's hair'",11.25447,10.95,"1993-12-01"
"Men's hair'",5.716142,5,"1993-12-01"
"Women's hair'",11.42166,11,"1994-01-01"
"Oil",3.3558,3.49,"1994-01-01"
"Men's hair'",5.734945,4.95,"1994-01-01"
"Women's hair'",11.43961,11,"1994-02-01"
"Oil",3.364179,3.49,"1994-02-01"
"Men's hair'",5.805765,5,"1994-02-01"
"Women's hair'",11.48345,11,"1994-03-01"
"Oil",3.385284,3.49,"1994-03-01"
"Men's hair'",5.644422,5,"1994-03-01"
"Oil",3.388144,3.49,"1994-04-01"
"Men's hair'",5.839118,5,"1994-04-01"
"Women's hair'",11.52991,11,"1994-04-01"
"Men's hair'",5.9041,5,"1994-05-01"
"Oil",3.406694,3.5,"1994-05-01"
"Women's hair'",11.63733,11.25,"1994-05-01"
"Men's hair'",5.935723,5,"1994-06-01"
"Women's hair'",11.69248,11.45,"1994-06-01"
"Oil",3.476452,3.5,"1994-06-01"
"Women's hair'",11.77448,11.5,"1994-07-01"
"Men's hair'",5.932034,5,"1994-07-01"
"Oil",3.495632,3.5,"1994-07-01"
"Women's hair'",11.77802,11.5,"1994-08-01"
