,vicprice,vicdemand,class
0,0.3467,42.2915,UP
1,0.3467,42.2915,UP
2,0.3467,42.2915,UP
3,0.3467,42.2915,UP
4,0.3467,42.2915,DOWN
5,0.3467,42.2915,DOWN
6,0.3467,42.2915,DOWN
7,0.3467,42.2915,DOWN
8,0.3467,42.2915,DOWN
9,0.3467,42.2915,DOWN
10,0.3467,42.2915,UP
11,0.3467,42.2915,UP
12,0.3467,42.2915,UP
13,0.3467,42.2915,DOWN
14,0.3467,42.2915,DOWN
15,0.3467,42.2915,DOWN
16,0.3467,42.2915,DOWN
17,0.3467,42.2915,DOWN
18,0.3467,42.2915,DOWN
19,0.3467,42.2915,DOWN
20,0.3467,42.2915,UP
21,0.3467,42.2915,UP
22,0.3467,42.2915,UP
23,0.3467,42.2915,UP
24,0.3467,42.2915,UP
25,0.3467,42.2915,UP
26,0.3467,42.2915,DOWN
27,0.3467,42.2915,UP
28,0.3467,42.2915,UP
29,0.3467,42.2915,DOWN
30,0.3467,42.2915,DOWN
31,0.3467,42.2915,DOWN
32,0.3467,42.2915,DOWN
33,0.3467,42.2915,DOWN
34,0.3467,42.2915,DOWN
35,0.3467,42.2915,UP
36,0.3467,42.2915,DOWN
37,0.3467,42.2915,DOWN
38,0.3467,42.2915,DOWN
39,0.3467,42.2915,DOWN
40,0.3467,42.2915,DOWN
41,0.3467,42.2915,DOWN
42,0.3467,42.2915,DOWN
43,0.3467,42.2915,UP
44,0.3467,42.2915,UP
45,0.3467,42.2915,UP
46,0.3467,42.2915,UP
47,0.3467,42.2915,UP
48,0.3467,42.2915,UP
49,0.3467,42.2915,UP
50,0.3467,42.2915,UP
51,0.3467,42.2915,DOWN
52,0.3467,42.2915,DOWN
53,0.3467,42.2915,DOWN
54,0.3467,42.2915,DOWN
55,0.3467,42.2915,DOWN
56,0.3467,42.2915,DOWN
57,0.3467,42.2915,DOWN
58,0.3467,42.2915,DOWN
59,0.3467,42.2915,UP
60,0.3467,42.2915,UP
61,0.3467,42.2915,UP
62,0.3467,42.2915,DOWN
63,0.3467,42.2915,DOWN
64,0.3467,42.2915,DOWN
65,0.3467,42.2915,DOWN
66,0.3467,42.2915,DOWN
67,0.3467,42.2915,DOWN
68,0.3467,42.2915,DOWN
69,0.3467,42.2915,DOWN
70,0.3467,42.2915,DOWN
71,0.3467,42.2915,DOWN
72,0.3467,42.2915,DOWN
73,0.3467,42.2915,DOWN
74,0.3467,42.2915,DOWN
75,0.3467,42.2915,DOWN
76,0.3467,42.2915,DOWN
77,0.3467,42.2915,DOWN
78,0.3467,42.2915,DOWN
79,0.3467,42.2915,DOWN
80,0.3467,42.2915,DOWN
81,0.3467,42.2915,DOWN
82,0.3467,42.2915,DOWN
83,0.3467,42.2915,DOWN
84,0.3467,42.2915,DOWN
85,0.3467,42.2915,DOWN
86,0.3467,42.2915,DOWN
87,0.3467,42.2915,DOWN
88,0.3467,42.2915,DOWN
89,0.3467,42.2915,DOWN
90,0.3467,42.2915,DOWN
91,0.3467,42.2915,DOWN
92,0.3467,42.2915,UP
93,0.3467,42.2915,UP
94,0.3467,42.2915,UP
95,0.3467,42.2915,UP
96,0.3467,42.2915,UP
97,0.3467,42.2915,UP
98,0.3467,42.2915,UP
99,0.3467,42.2915,DOWN
100,0.3467,42.2915,DOWN
101,0.3467,42.2915,DOWN
102,0.3467,42.2915,DOWN
103,0.3467,42.2915,DOWN
104,0.3467,42.2915,UP
105,0.3467,42.2915,UP
106,0.3467,42.2915,UP
107,0.3467,42.2915,UP
108,0.3467,42.2915,UP
109,0.3467,42.2915,UP
110,0.3467,42.2915,UP
111,0.3467,42.2915,DOWN
112,0.3467,42.2915,DOWN
113,0.3467,42.2915,DOWN
114,0.3467,42.2915,UP
115,0.3467,42.2915,UP
116,0.3467,42.2915,UP
117,0.3467,42.2915,UP
118,0.3467,42.2915,UP
119,0.3467,42.2915,UP
120,0.3467,42.2915,UP
121,0.3467,42.2915,UP
122,0.3467,42.2915,UP
123,0.3467,42.2915,UP
124,0.3467,42.2915,UP
125,0.3467,42.2915,UP
126,0.3467,42.2915,UP
127,0.3467,42.2915,UP
128,0.3467,42.2915,DOWN
129,0.3467,42.2915,DOWN
130,0.3467,42.2915,UP
131,0.3467,42.2915,UP
132,0.3467,42.2915,UP
133,0.3467,42.2915,DOWN
134,0.3467,42.2915,DOWN
135,0.3467,42.2915,DOWN
136,0.3467,42.2915,DOWN
137,0.3467,42.2915,DOWN
