,code,country,continent,continent_code,cluster,dim1,dim2,predicted_continent,predicted_continent_name,predicted_cluster
0,4,Afghanistan,Asia,1,4,-15.76456606946948,51.82096452422149,0,Africa,5
1,24,Angola,Africa,0,2,-22.937282997838352,2.569519118329401,0,Africa,1
2,8,Albania,Europe,2,4,30.558857571741015,19.94674521231044,3,North America,5
3,784,United Arab Emirates,Asia,1,1,15.21910031606469,-58.26274978779631,1,Asia,2
4,32,Argentina,South America,5,1,16.39928041282645,-39.935899104805536,1,Asia,2
5,51,Armenia,Asia,1,2,-53.50290369288223,2.168228511260074,0,Africa,3
6,28,Antigua and Barbuda,North America,3,4,37.02088005866109,34.14493137428486,3,North America,5
7,36,Australia,Oceania,4,5,77.2093234931292,-33.69961780625573,2,Europe,0
8,40,Austria,Europe,2,5,70.86164515952231,-18.504332355598784,2,Europe,0
9,31,Azerbaijan,Asia,1,2,-35.884260751170686,-18.968426206557744,0,Africa,3
10,108,Burundi,Africa,0,0,-65.82662940680683,15.563039467705838,0,Africa,3
11,56,Belgium,Europe,2,5,73.02079158969626,-18.59197840238777,2,Europe,0
12,204,Benin,Africa,0,2,-96.57923811476672,15.665297433278925,0,Africa,3
13,854,Burkina Faso,Africa,0,2,-53.75596709365584,8.004554790181789,0,Africa,3
14,50,Bangladesh,Asia,1,2,-69.27884592158436,-0.8571555903538081,0,Africa,3
15,100,Bulgaria,Europe,2,5,44.563390318239705,-9.853653998822066,2,Europe,0
16,48,Bahrain,Asia,1,1,-1.264474029696149,-43.53185009383385,1,Asia,2
17,44,Bahamas,North America,3,4,53.72512354923049,31.949137867169796,3,North America,5
18,70,Bosnia and Herzegovina,Europe,2,1,12.094407858337565,-15.009742826409154,1,Asia,2
19,112,Belarus,Europe,2,1,26.918270445365614,-43.03287267917129,1,Asia,2
20,84,Belize,North America,3,0,-17.572566380819147,14.684370562008043,0,Africa,1
21,68,Bolivia,South America,5,2,-30.112036343238724,-28.22951734168467,1,Asia,2
22,76,Brazil,South America,5,1,9.582121932672509,-42.99849550211335,1,Asia,2
23,52,Barbados,North America,3,3,66.0631795888104,57.79569007348335,3,North America,4
24,96,Brunei Darussalam,Asia,1,1,28.72586900756292,-25.306310203455464,2,Europe,0
25,64,Bhutan,Asia,1,4,-29.819760484945864,25.90161580288447,0,Africa,1
26,72,Botswana,Africa,0,4,9.862573203727973,78.76095847593288,0,Africa,5
27,140,Central African Republic,Africa,0,4,-1.8211733772818852,16.882527517056037,0,Africa,5
28,124,Canada,North America,3,5,51.91835145753893,-68.68772154169648,2,Europe,0
29,756,Switzerland,Europe,2,5,76.31786658812946,8.332093416648453,2,Europe,0
30,152,Chile,South America,5,4,11.54649742834108,-9.911449401378482,1,Asia,2
31,156,China,Asia,1,1,29.242980819342925,-40.35246908424607,1,Asia,2
32,384,Cote d'Ivoire,Africa,0,2,-41.14150549581239,14.865409273719255,0,Africa,1
33,120,Cameroon,Africa,0,2,-46.060549907120595,19.642121406026433,0,Africa,1
34,180,Dem. Rep. Congo,Africa,0,2,-54.53847274484142,20.013835477118768,0,Africa,1
35,178,Republic of Congo,Africa,0,4,-13.203165599997028,10.929001216238118,0,Africa,1
36,170,Colombia,South America,5,2,-14.223655237522019,-15.009745861431536,0,Africa,2
37,174,Comoros,Africa,0,0,-43.8967353211102,44.37146315079508,0,Africa,1
38,132,Cabo Verde,Africa,0,4,-28.566130249733696,58.63028295390323,0,Africa,1
39,188,Costa Rica,North America,3,4,2.8749043548019433,1.1149646104175601,0,Africa,5
40,192,Cuba,North America,3,4,39.500734058033956,23.411300440041416,3,North America,5
41,196,Cyprus,Asia,1,5,56.12155757435831,7.197995733227982,2,Europe,0
42,203,Czech Republic,Europe,2,5,69.85517732016987,-15.783234541042788,2,Europe,0
43,276,Germany,Europe,2,5,77.95600240558872,-26.14302761304102,2,Europe,0
44,262,Djibouti,Africa,0,4,18.93127927912215,58.999595515112524,0,Africa,5
45,212,Dominica,North America,3,4,31.463597049508472,53.06543651774985,3,North America,5
46,208,Denmark,Europe,2,3,106.05570331818454,52.62397571837306,2,Europe,4
