Országok,Kultúra,Sport,Elégedettségi szint,Kultura*(-1)
Bulgaria,"451,7","89,0","5,4","-451,7"
Croatia,"727,4","159,5","6,3","-727,4"
Greece,"1 730,0","789,0","6,4",-1730
Lithuania,"499,9","99,1","6,4","-499,9"
Hungary,"4 253,3","1 329,5","6,5","-4253,3"
Latvia,"479,3","93,4","6,7","-479,3"
Portugal,"1 771,7","637,3","6,7","-1771,7"
Estonia,"509,2","137,7","7,0","-509,2"
Italy,"13 782,4","4 693,5","7,1","-13782,4"
Cyprus,"176,9","61,6","7,1","-176,9"
Slovakia,"948,3","175,2","7,1","-948,3"
Spain,"13 536,0","4 777,0","7,3",-13536
France,"33 130,0","12 747,0","7,3",-33130
Romania,"2 078,9","585,2","7,3","-2078,9"
Slovenia,"647,8","145,7","7,3","-647,8"
Czechia,"3 109,2","1 014,0","7,4","-3109,2"
Germany,"34 724,0","8 431,0","7,4",-34724
Malta,"153,7","29,5","7,5","-153,7"
Belgium,"5 988,2","1 925,6","7,6","-5988,2"
Luxembourg,"761,5","313,5","7,6","-761,5"
Netherlands,"9 881,0","3 960,0","7,7",-9881
Denmark,"4 909,6","1 166,2","7,8","-4909,6"
Poland,"6 647,3","2 250,1","7,8","-6647,3"
Sweden,"5 926,6","2 588,6","7,8","-5926,6"
Iceland,"701,5","342,3","7,9","-701,5"
Austria,"4 473,8","1 077,8","8,0","-4473,8"
Norway,"6 301,7","1 631,0","8,0","-6301,7"
Switzerland,"6 166,9","2 177,9","8,0","-6166,9"
Ireland,"1 819,1","360,0","8,1","-1819,1"
Finland,"3 542,0","1 351,0","8,1",-3542
